position,track,artist,featured_artists
6,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,N/A
91,Niji,Masaki Suda,N/A
178,Ilusao (Cracolandia),"MC Hariel, Alok & MC Ryan SP",MC Davi & Salvador da Rima
179,When The Party's Over,Billie Eilish,N/A
138,Black Mamba,aespa,N/A
5,Feliz Navidad,Jose Feliciano,N/A
160,Mirrors,Justin Timberlake,N/A
16,Mistletoe,Justin Bieber,N/A
1,Life Goes On,BTS,N/A
4,Monster,Shawn Mendes & Justin Bieber,N/A
9,Blue & Grey,BTS,N/A
12,Prisoner,Miley Cyrus,Dua Lipa
16,Stay,BTS,N/A
22,Fly To My Room,BTS,N/A
27,Body,Megan Thee Stallion,N/A
28,Telepathy,BTS,N/A
30,Dis-ease,BTS,N/A
39,Somebody's Problem,Morgan Wallen,N/A
60,Still Goin Down,Morgan Wallen,N/A
12,Sleigh Ride,The Ronettes,N/A
15,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",N/A
15,Wonderful Christmastime,Paul McCartney,N/A
22,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,N/A
66,Cry Baby,Megan Thee Stallion,DaBaby
21,Christmas (Baby Please Come Home),Darlene Love,N/A
10,A Holly Jolly Christmas,Burl Ives,N/A
159,Circles,Megan Thee Stallion,N/A
162,Shots Fired,Megan Thee Stallion,N/A
169,Pain Away,Meek Mill,Lil Durk
166,Livin' The Dream,Morgan Wallen,N/A
20,Do They Know It's Christmas?,Band Aid,N/A
22,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,N/A
17,Holly Jolly Christmas,Michael Buble,N/A
173,Polvo,Nicky Jam X Myke Towers,N/A
191,Do It On The Tip,Megan Thee Stallion,City Girls & Hot Girl Meg
181,Head Shoulders Knees & Toes,Ofenbach & Quarterhead,Norma Jean Martine
199,Freaky Girls,Megan Thee Stallion,SZA
7,La Noche de Anoche,Bad Bunny & Rosalia,N/A
19,Te Mudaste,Bad Bunny,N/A
25,Yo Visto Asi,Bad Bunny,N/A
29,Haciendo Que Me Amas,Bad Bunny,N/A
39,Te Deseo Lo Mejor,Bad Bunny,N/A
45,Booker T,Bad Bunny,N/A
53,El Mundo Es Mio,Bad Bunny,N/A
54,Hoy Cobre,Bad Bunny,N/A
59,Maldita Pobreza,Bad Bunny,N/A
60,La Droga,Bad Bunny,N/A
71,Antes Que Se Acabe,Bad Bunny,N/A
72,Sorry Papi,Bad Bunny & ABRA,N/A
75,Step And A Step,NiziU,N/A
76,120,Bad Bunny,N/A
27,Driving Home For Christmas,Chris Rea,N/A
83,Trellas,Bad Bunny,N/A
18,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,N/A
73,Angels Like You,Miley Cyrus,N/A
22,Run Rudolph Run,Chuck Berry,N/A
26,Blue Christmas,Elvis Presley,N/A
98,Titliaan,Afsana Khan,N/A
38,Hallelujah,Pentatonix,N/A
45,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,N/A
28,Merry Christmas Everyone,Shakin' Stevens,N/A
66,Rockin' Around The Christmas Tree,Justin Bieber,N/A
52,Have Yourself A Merry Little Christmas,Michael Buble,N/A
23,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,N/A
54,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,N/A
41,"Let It Snow, Let It Snow, Let It Snow!",Frank Sinatra With The B. Swanson Quartet,N/A
31,Deck The Halls,Nat King Cole,N/A
55,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,N/A
34,Little Saint Nick,The Beach Boys,N/A
151,Dicked Down In Dallas,Trey Lewis,N/A
56,Happy Holiday/The Holiday Season,Andy Williams,N/A
52,This Christmas,Donny Hathaway,N/A
66,Cozy Little Christmas,Katy Perry,N/A
61,Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,N/A
49,Fairytale Of New York,The Pogues,Kirsty MacColl
36,Please Come Home For Christmas,Eagles,N/A
27,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,N/A
174,Plastic Hearts,Miley Cyrus,N/A
71,"Baby, It's Cold Outside",Dean Martin,N/A
121,Under The Mistletoe,Kelly Clarkson & Brett Eldredge,N/A
41,Step Into Christmas,Elton John,N/A
37,Santa Claus Is Comin' To Town,Jackson 5,N/A
47,On Me,Lil Baby,N/A
58,Errbody,Lil Baby,N/A
66,Oh Santa!,Mariah Carey,Ariana Grande & Jennifer Hudson
79,Real Shit,Juice WRLD x benny blanco,N/A
102,Teach Me How To Love,Shawn Mendes,N/A
125,Amor Ou O Litrao (Brega Funk),"Mila, Petter Ferraz e Menor Nico",N/A
39,Girl Like Me,Black Eyed Peas X Shakira,N/A
44,You Make It Feel Like Christmas,Gwen Stefani,Blake Shelton
39,Like It's Christmas,Jonas Brothers,N/A
95,I'll Be Home For Christmas,Bing Crosby With John Scott Trotter And His Orchestra,N/A
51,Christmastime Is Here,Vince Guaraldi Trio,N/A
59,Bebe,Camilo & El Alfa,N/A
178,Just The Two Of Us,"Grover Washington, Jr. With Bill Withers",N/A
169,Frosty The Snowman,Jimmy Durante,N/A
114,Favorite Time Of Year,Carrie Underwood,N/A
2,Willow,Taylor Swift,N/A
12,Champagne Problems,Taylor Swift,N/A
16,"No Body, No Crime",Taylor Swift,HAIM
21,Gold Rush,Taylor Swift,N/A
23,'Tis The Damn Season,Taylor Swift,N/A
28,Tolerate It,Taylor Swift,N/A
33,Happiness,Taylor Swift,N/A
37,Tequila Shots,Kid Cudi,N/A
40,Evermore,Taylor Swift,Bon Iver
41,Show Out,"Kid Cudi, Skepta & Pop Smoke",N/A
43,Ivy,Taylor Swift,N/A
45,Coney Island,Taylor Swift,The National
47,Dorothea,Taylor Swift,N/A
55,Long Story Short,Taylor Swift,N/A
60,She Knows This,Kid Cudi,N/A
62,Cowboy Like Me,Taylor Swift,N/A
66,Marjorie,Taylor Swift,N/A
75,Closure,Taylor Swift,N/A
76,Another Day,Kid Cudi,N/A
11,Snowman,Sia,N/A
81,Way Out,Jack Harlow,Big Sean
88,Reminds Me Of You,The Kid LAROI & Juice WRLD,N/A
100,Mr. Solo Dolo III,Kid Cudi,N/A
106,Dive,Kid Cudi,N/A
82,Take Me Home For Christmas,Dan + Shay,N/A
113,Heaven On Earth,Kid Cudi,N/A
122,Sad People,Kid Cudi,N/A
133,Damaged,Kid Cudi,N/A
104,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,N/A
146,Beautiful Trip,Kid Cudi,N/A
91,What Christmas Means To Me,John Legend,Stevie Wonder
169,The Void,Kid Cudi,N/A
43,Hecha Pa' Mi,Boza,N/A
89,What Christmas Means To Me,Stevie Wonder,N/A
185,Rockstar Knights,Kid Cudi & Trippie Redd,N/A
192,Sept. 16,Kid Cudi,N/A
72,Christmas Lights,Coldplay,N/A
198,Elsie's Baby Boy (Flashback),Kid Cudi,N/A
38,Don't Stop Me Eatin',LadBaby,N/A
13,Afterglow,Ed Sheeran,N/A
69,Gnat,Eminem,N/A
89,Santa Baby,Kylie Minogue,N/A
87,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,N/A
101,One More Sleep,Leona Lewis,N/A
95,Christmas (Baby Please Come Home),Michael Buble,N/A
106,Have Yourself A Merry Little Christmas,Sam Smith,N/A
99,Santa's Coming For Us,Sia,N/A
111,Santa Claus Is Coming To Town,Michael Buble,N/A
116,Merry Christmas Baby,Otis Redding,N/A
55,Santa Claus Is Comin' To Town,Bruce Springsteen,N/A
126,Hallelujah,Carrie Underwood & John Legend,N/A
79,I Saw Mommy Kissing Santa Claus,Jackson 5,N/A
68,My Only Wish (This Year),Britney Spears,N/A
92,I'll Be Home For Christmas,Michael Buble,N/A
138,"Baby, It's Cold Outside",Brett Eldredge,Meghan Trainor
139,Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,N/A
121,I'll Be Home,Meghan Trainor,N/A
117,Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,N/A
97,"Merry Christmas, Happy Holidays",*NSYNC,N/A
91,Christmas Tree Farm,Taylor Swift,N/A
141,Christmas Without You,Ava Max,N/A
